variable,value,Label
AWFACTE,Variable Label,All woman factor - educational
AWFACTR,Variable Label,All woman factor - regional
AWFACTT,Variable Label,All woman factor - total
AWFACTU,Variable Label,All woman factor - urban/rural
AWFACTW,Variable Label,All woman factor - wealth index
B0,Variable Label,Child is twin
B0,0,Single birth
B0,1,1st of multiple
B0,2,2nd of multiple
B0,3,3rd of multiple
B0,4,4th of multiple
B0,5,5th of multiple
B0,6,6th of multiple
B1,Variable Label,Month of birth
B10,Variable Label,Completeness of information
B10,1,Month and year - information complete
B10,2,Month and age - year imputed
B10,3,Year and age - month imputed
B10,4,Year and age - year ignored
B10,5,Year - age/month imputed
B10,6,Age - year/month imputed
B10,7,Month - age/year imputed
B10,8,None - all imputed
B11,Variable Label,Preceding birth interval (months)
B12,Variable Label,Succeeding birth interval (months)
B13,Variable Label,Flag for age at death
B13,0,No flag
B13,1,> interview
B13,2,< breastfeeding
B13,3,< age supplemented
B13,4,< first breastfed
B13,5,< last vaccination
B13,6,Outside range
B13,7,"Imputed, units given"
B13,8,"Imputed, no units"
B15,Variable Label,Live birth between births
B15,0,No
B15,1,Yes
B16,Variable Label,Child's line number in household
B16,0,Not listed in household
B2,Variable Label,Year of birth
B3,Variable Label,Date of birth (CMC)
B4,Variable Label,Sex of child
B4,1,Male
B4,2,Female
B5,Variable Label,Child is alive
B5,0,No
B5,1,Yes
B6,Variable Label,Age at death
B6,100,Died on day of birth
B6,101,Days: 1
B6,199,Days: number missing
B6,201,Months: 1
B6,299,Months: number missing
B6,301,Years: 1
B6,399,Years: number missing
B6,997,Inconsistent
B6,998,Don't know
B7,Variable Label,"Age at death (months, imputed)"
B8,Variable Label,Current age of child
B9,Variable Label,Child lives with whom
B9,0,Respondent
B9,1,Father
B9,2,Other relative
B9,3,Someone else
B9,4,Lives elsewhere
BIDX,Variable Label,Birth column number
BORD,Variable Label,Birth order number
CASEID,Variable Label,Case Identification
H0,Variable Label,Received POLIO 0
H0,0,No
H0,1,Vaccination date on card
H0,2,Reported by mother
H0,3,Vaccination marked on card
H0,8,Don't know
H0D,Variable Label,POLIO 0 day
H0D,97,Inconsistent
H0D,98,Don't know
H0M,Variable Label,POLIO 0 month
H0M,97,Inconsistent
H0M,98,Don't know
H0Y,Variable Label,POLIO 0 year
H0Y,9997,Inconsistent
H0Y,9998,Don't know
H1,Variable Label,Has health card
H1,0,No card
H1,1,"Yes, seen"
H1,2,"Yes, not seen"
H1,3,No longer has card
H10,Variable Label,Ever had vaccination
H10,0,No
H10,1,Yes
H10,8,Don't know
