1: Gh102_15_2_1
    2: Gh102_22_2_2
    3: Gh102_6_2_3
    4: Gh103_22_3_1
    5: Gh103_23_2_2
    6: Gh103_6_2_1
    7: Gh105_12_1_2
    8: Gh105_12_1_3
    9: Gh105_18_2_3
    10: Gh105_5_2_1
    11: Gh105_7_1_13
    12: Gh106_11_2_4
    13: Gh107_5_2_2
    14: Gh107_9_1_2
    15: Gh109_21_1_1
    16: Gh109_30_2_2
    17: Gh10_20_3_2
    18: Gh110_3_3_1
    19: Gh111_27_2_1
    20: Gh113_9_2_2
    21: Gh114_13_1_2
    22: Gh114_15_2_4
    23: Gh114_27_2_4
    24: Gh115_12_13_2
    25: Gh115_13_12_3
    26: Gh115_14_2_1
    27: Gh115_19_2_7
    28: Gh115_4_2_3
    29: Gh116_17_2_3
    30: Gh116_17_2_4
    31: Gh116_23_1_3
    32: Gh116_29_1_1
    33: Gh116_7_2_2
    34: Gh119_13_2_4
    35: Gh11_11_8_4
    36: Gh11_21_2_1
    37: Gh11_30_2_3
    38: Gh11_5_14_2
    39: Gh11_5_2_3
    40: Gh120_14_2_3
    41: Gh120_14_2_4
    42: Gh120_8_2_6
    43: Gh122_10_2_3
    44: Gh122_13_2_1
    45: Gh122_22_1_2
    46: Gh122_4_2_2
    47: Gh123_13_12_1
    48: Gh123_13_13_1
    49: Gh124_33_2_1
    50: Gh127_25_2_1
    51: Gh128_11_2_2
    52: Gh128_13_2_5
    53: Gh128_20_1_3
    54: Gh128_22_1_1
    55: Gh128_29_2_9
    56: Gh129_1_1_4
    57: Gh129_20_2_1
    58: Gh12_16_2_3
    59: Gh12_23_1_6
    60: Gh130_12_2_1
    61: Gh130_13_1_6
    62: Gh131_3_2_1
    63: Gh131_6_1_8
    64: Gh132_10_3_1
    65: Gh132_11_1_1
    66: Gh132_27_2_1
    67: Gh132_8_2_1
    68: Gh133_19_1_4
    69: Gh133_24_2_5
    70: Gh133_30_3_3
    71: Gh134_12_1_4
    72: Gh134_31_5_1
    73: Gh135_32_2_1
    74: Gh135_3_2_4
    75: Gh136_14_1_2
    76: Gh136_17_1_2
    77: Gh136_27_1_2
    78: Gh136_30_2_4
    79: Gh136_4_2_3
    80: Gh137_15_2_2
    81: Gh137_9_2_3
    82: Gh138_28_2_7
    83: Gh139_14_4_2
    84: Gh139_22_2_3
    85: Gh13_13_1_1
    86: Gh13_14_2_2
    87: Gh141_5_1_6
    88: Gh142_20_1_2
    89: Gh142_23_1_1
    90: Gh143_19_1_2
    91: Gh143_1_3_2
    92: Gh143_33_2_5
    93: Gh143_33_2_6
    94: Gh144_21_2_2
    95: Gh145_11_2_2
    96: Gh146_33_2_3
    97: Gh148_31_2_4
    98: Gh149_26_2_2
    99: Gh14_2_1_1
    100: Gh14_33_2_1
    101: Gh151_12_4_1
    102: Gh151_5_3_2
    103: Gh152_23_2_4
    104: Gh153_24_2_1
    105: Gh154_7_2_3
    106: Gh155_10_2_3
    107: Gh155_23_4_5
